owner_acronym,source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
just,2010,567,376,191,6464986.12,23341802.76
just,2011,581,366,215,6119923.71,33136922.91
just,2012,369,222,147,3636288.41,24302175.17
just,2013,442,258,184,4400540.09,26123543.44
just,2014,314,174,140,3036750.96,18490063.52
just,2015,443,284,159,4953004.53,19659196.82
just,2016,377,214,163,3661510.33,24744528.82
just,2017,367,225,142,3802561.55,18611594.76
just,2018,310,143,167,2511691.44,36179575.27
lac,2012,77,66,11,1082272.08,1005904.22
lac,2013,246,155,91,2752886.28,11852686.69
lac,2014,190,124,66,2239108.61,9327215.90
lac,2015,151,91,60,1588222.15,9952802.59
lac,2016,139,84,55,1538716.55,11433026.09
lac,2017,148,83,65,1529826.57,8359084.28
lac,2018,120,79,41,1548610.20,10721144.16
mgerc,2015,2,2,0,15220.35,0.00
mgerc,2016,49,42,7,381624.19,289160.55
mgerc,2017,16,10,6,171468.89,508403.54
mgerc,2018,10,9,1,174095.32,25188.78
mpcc,2016,18,13,5,263669.30,262567.03
mpcc,2017,22,16,6,269967.40,455126.48
mpcc,2018,19,14,5,211548.60,158222.60
neb,2015,69,33,36,585178.72,5970299.49
neb,2016,207,111,96,2097077.45,24960325.08
neb,2017,174,74,100,1289703.06,34405559.71
neb,2018,107,62,45,1060759.42,11903443.18
neb,2019,2,1,1,15750.00,25200.00
nfb,2016,46,22,24,358883.66,2425092.84
nfb,2017,214,125,89,1913982.48,7150952.77
nfb,2018,113,66,47,963915.23,3598856.49
nrc,2009,2677,1850,827,30619817.00,131658686.00
nrc,2010,2528,1761,767,29201172.00,129835413.00
nrc,2011,2223,1570,653,26128792.00,220216418.00
nrc,2012,1843,1291,552,21478788.00,64901228.00
nrc,2013,2143,1478,665,24758757.00,103580277.00
nrc,2014,2045,1411,634,23563540.00,274708540.00
nrc,2015,2362,1601,761,26682301.00,114405823.00
nrc,2016,2465,1593,872,26508426.37,128438523.97
nrc,2017,2559,1714,845,28046396.14,164938626.79
nrc,2018,1525,994,531,16300353.02,68930858.89
nrcan,2011,2085,1330,755,23055223.55,96485974.09
nrcan,2012,1859,1263,596,21584086.13,131106900.16
nrcan,2013,1805,1211,594,20905956.57,143779187.88
nrcan,2014,1854,1299,555,23120284.42,84885001.40
nrcan,2015,1774,1165,609,20860376.78,105661045.29
nrcan,2016,1849,1208,641,21831514.90,85740337.59
nrcan,2017,1905,1270,635,22658721.78,95569156.72
nrcan,2018,1156,770,386,13982557.35,52001190.95
nserc,2017,141,64,77,1247376.55,12580696.27
nserc,2018,96,56,40,983193.13,6916571.05
oag,2016,79,55,24,892204.93,3050002.05
oag,2017,178,103,75,1741439.48,5347419.66
oag,2018,98,63,35,1036059.61,2953954.05
oci,2016,2,0,2,0.00,395025.70
oci,2017,3,2,1,36126.10,27873.71
oci,2018,3,1,2,10509.00,207242.00
ocl,2017,17,7,10,140479.37,859199.44
ocl,2018,5,3,2,58669.60,443290.08
ocol,2016,22,14,8,284711.19,505673.62
ocol,2017,82,56,26,1102855.38,2279989.77
ocol,2018,27,18,9,364924.47,490438.23
oic,2017,32,15,17,261459.39,2498497.25
oic,2018,38,17,21,350780.73,2845858.95
opc,2018,63,40,23,773622.51,2357763.37
osfi,2016,232,117,115,2005616.41,19686869.72
osfi,2017,235,167,68,3023255.91,8713240.40
osfi,2018,156,99,57,1814866.92,11245798.24
osgg,2016,29,17,12,280642.46,1096769.69
osgg,2017,42,19,23,308713.89,13236888.01
osgg,2018,45,27,18,403797.19,1159974.57
oto,2008,6,6,0,103243.84,0.00
oto,2009,4,3,1,50195.79,60847.50
oto,2011,1,1,0,24860.00,0.00
oto,2013,3,3,0,46813.23,0.00
oto,2014,2,1,1,11775.83,100900.00
oto,2016,1,0,1,0.00,44215.20
pbc,2009,59,42,17,731996.00,968529.00
pbc,2010,74,46,28,835414.00,1203997.00
pbc,2011,93,64,29,1107321.00,1475568.00
pbc,2012,109,79,30,1351961.00,1262545.00
pbc,2013,88,73,15,1217765.00,724833.00
pbc,2014,72,58,14,966630.00,592451.00
pbc,2015,43,30,13,514712.42,500484.05
pbc,2016,12,9,3,129663.34,135001.10
pbc,2017,47,32,15,520122.79,732330.24
pbc,2018,18,16,2,288900.86,216618.20
